na nb nc nd la lb lc ld ja jb jc jd ma mb mc md   coul_dir         coul_ex          br_dir           br_ex            total
 7  8  7  8  1  0  0  1  1  1  1  1  1 -1  1 -1  -0.80397141E-02   0.00000000E+00   0.56899291E-06   0.78189937E-07  -0.80390669E-02
 7  8  7  8  1  0  0  1  3  1  1  3 -1 -1 -1 -1  -0.81408172E-03   0.20058834E-02   0.48468717E-06  -0.50509706E-08   0.11922813E-02
 7  8  7  8  1  0  0  1  3  1  1  3 -3  1 -1 -1  -0.70501545E-03   0.00000000E+00   0.42355519E-06  -0.17497075E-07  -0.70460939E-03
 7  8  7  8  1  0  0  1  3  1  1  3 -1  1 -1  1  -0.81408172E-03   0.00000000E+00   0.48907940E-06  -0.20203882E-07  -0.81361285E-03
 7  8  7  8  1  0  0  1  3  1  1  3  1 -1 -1  1  -0.40704086E-03   0.20058834E-02   0.24014747E-06   0.50509706E-08   0.15990877E-02
 7  8  7  8  1  0  0  1  3  1  1  3  1 -1  1 -1  -0.81408172E-03   0.00000000E+00   0.48907940E-06  -0.20203882E-07  -0.81361285E-03
 7  8  7  8  1  0  0  1  3  1  1  3  3 -1  1  1  -0.70501545E-03   0.00000000E+00   0.42355519E-06  -0.17497075E-07  -0.70460939E-03
 7  8  7  8  1  0  0  1  3  1  1  3 -1  1  1 -1  -0.40704086E-03   0.20058834E-02   0.24014747E-06   0.50509706E-08   0.15990877E-02
 7  8  7  8  1  0  0  1  3  1  1  3  1  1  1  1  -0.81408172E-03   0.20058834E-02   0.48468717E-06  -0.50509706E-08   0.11922813E-02
 7  8  7  8  1  0  0  1  1  1  1  3  1 -1  1 -1   0.63657741E-03   0.00000000E+00  -0.35527912E-06  -0.57078307E-08   0.63621642E-03
 7  8  7  8  1  0  1  0  3  1  1  1 -1 -1 -1 -1   0.00000000E+00  -0.44316439E-02  -0.20983058E-07   0.34401697E-06  -0.44313208E-02
 7  8  7  8  1  0  1  0  3  1  1  1 -3  1 -1 -1   0.00000000E+00   0.76758324E-02   0.36343723E-07  -0.59585486E-06   0.76752729E-02
 7  7  7  7  0  1  0  1  1  3  1  1  1 -3 -1 -1   0.00000000E+00   0.42839533E-01   0.22573853E-06  -0.47575905E-05   0.42835001E-01
 7  8  7  8  1  0  1  0  3  1  1  1 -1  1 -1  1   0.00000000E+00   0.44316439E-02   0.20983058E-07  -0.34401697E-06   0.44313208E-02
 7  8  7  8  1  0  1  0  3  1  1  1  1 -1  1 -1   0.00000000E+00  -0.44316439E-02  -0.20983058E-07   0.34401697E-06  -0.44313208E-02
 7  8  7  8  1  0  1  0  3  1  1  1  3 -1  1  1   0.00000000E+00  -0.76758324E-02  -0.36343723E-07   0.59585486E-06  -0.76752729E-02
 7  8  7  8  1  0  1  0  3  1  1  1 -1  1  1 -1   0.00000000E+00   0.44316439E-02   0.20983058E-07  -0.34401697E-06   0.44313208E-02
 7  7  7  7  0  1  0  1  1  3  1  1  1 -1 -1  1   0.00000000E+00   0.24733416E-01   0.13033020E-06  -0.27467961E-05   0.24730800E-01
 7  7  7  7  0  1  0  1  1  3  1  1 -1  1  1 -1   0.00000000E+00  -0.24733416E-01  -0.13033020E-06   0.27467961E-05  -0.24730800E-01
 7  8  7  8  1  0  1  0  3  1  1  1  1 -1 -1  1   0.00000000E+00  -0.44316439E-02  -0.20983058E-07   0.34401697E-06  -0.44313208E-02
 7  7  7  7  0  1  0  1  1  3  1  1 -1  3  1  1   0.00000000E+00  -0.42839533E-01  -0.22573853E-06   0.47575905E-05  -0.42835001E-01
 7  8  7  8  1  0  1  0  3  1  1  1  1  1  1  1   0.00000000E+00   0.44316439E-02   0.20983058E-07  -0.34401697E-06   0.44313208E-02
 7  8  7  8  1  0  1  0  3  1  3  1 -1 -1 -1 -1   0.18480308E+00  -0.15228189E-01  -0.44657959E-07   0.64748082E-06   0.16957549E+00
 7  8  7  8  1  0  1  0  3  1  3  1 -1 -1 -3  1   0.00000000E+00  -0.13187998E-01  -0.15469971E-06   0.46144609E-06  -0.13187692E-01
 7  8  7  8  1  0  1  0  1  1  1  1  1 -1 -1  1   0.00000000E+00   0.18052421E-02  -0.99017926E-07  -0.30559323E-06   0.18048375E-02
 7  7  7  7  0  1  0  1  1  3  1  3  1 -1 -1  1   0.00000000E+00  -0.22877371E-01  -0.12524108E-05   0.32637517E-05  -0.22875360E-01
 7  8  7  8  1  0  1  0  3  1  3  1 -3  1 -1 -1   0.00000000E+00  -0.13187998E-01  -0.15469971E-06   0.46144609E-06  -0.13187692E-01
 7  7  7  7  1  1  1  1  1  3  1  3  1 -3  1 -3   0.27781064E+00  -0.17558599E-01   0.58304012E-06   0.25258673E-06   0.26025287E+00
