n1 n2 n3 n4 m1 m2 m3 m4   <n1n2|C|n3n4>            <n1n2|C|n4n3>            <n1n2|B|n3n4>            <1n2|B|n4n3>            Total
31 34 30 30 -1  1  1 -1    0.2384641112909174e-02  -0.1589760741939450e-02   0.3011669169167189e-07  -0.2866831243959422e-07   0.3974460639852755e-02
31 34 30 30 -3  3  1 -1   -0.3179521483878897e-02   0.7948803709697244e-03  -0.3156507094374957e-07   0.2721993318751654e-07  -0.3974460639852752e-02
32 32 31 31  1 -1  1 -1    0.1523197003793948e-01  -0.7615985018969737e-02   0.6514634871090771e-06  -0.3830719954736676e-06   0.2284898959239180e-01
30 33 29 32 -1  1  1 -1    0.1607839718861308e-01  -0.6499260355136346e-03   0.1136770866620036e-05  -0.1901753234907609e-06   0.1672965017031683e-01
30 33 29 32  1  1  1  1    0.8039198594306544e-02   0.6499260355136346e-03   0.5683854333100184e-06   0.1901753234907609e-06   0.7389650768902728e-02
31 32 29 30 -1  1  1 -1    0.1348976820434680e-02   0.0000000000000000e+00   0.8792709522419216e-06   0.3074603355118608e-08   0.1349853016783566e-02
31 32 29 30  1 -1  1 -1   -0.1348976820434680e-02   0.0000000000000000e+00  -0.8792709522419219e-06  -0.3074603355118608e-08  -0.1349853016783567e-02
30 33 30 33  1  1  1  1    0.1728331224713181e+00   0.7386684902885107e-02  -0.1576118178591061e-06  -0.9334371724385079e-07   0.1654463733003324e+00
30 33 30 33  1 -1  1 -1    0.1728331224713181e+00   0.0000000000000000e+00   0.1576118178591061e-06  -0.1866874344877016e-06   0.1728334667705705e+00
30 33 30 33 -1  1 -1  1    0.1728331224713181e+00   0.0000000000000000e+00   0.1576118178591061e-06  -0.1866874344877016e-06   0.1728334667705705e+00
31 33 29 32  1 -1  1 -1    0.8826036538257918e-02  -0.1833149775960367e-03   0.7554830184473265e-06   0.1809713363255112e-06   0.9009926027536077e-02
31 33 29 32 -1  1  1 -1   -0.8826036538257916e-02   0.1833149775960368e-03  -0.7554830184473264e-06  -0.1809713363255113e-06  -0.9009926027536076e-02
31 33 29 32  1  1  1  1   -0.8826036538257918e-02   0.1833149775960368e-03  -0.7554830184473265e-06  -0.1809713363255113e-06  -0.9009926027536077e-02
29 30 29 30 -1  1 -1  1    0.3902602059912181e+00   0.5754657620255391e-01   0.8544370054067511e-06  -0.6262320685723075e-05   0.3327207465463553e+00
29 30 29 30 -1 -1 -1 -1    0.3902602059912181e+00   0.2877328810127697e-01  -0.8544370054067511e-06  -0.3131160342861539e-05   0.3614891946132785e+00
31 34 29 29  1 -1  1 -1    0.3794969076887073e-02  -0.1897484538443536e-02   0.5030807313508736e-06  -0.2854656367922300e-06   0.5693242161698751e-02
31 34 29 29 -1  1  1 -1   -0.1897484538443536e-02   0.3794969076887073e-02  -0.2854656367922300e-06   0.5030807313508736e-06  -0.5693242161698752e-02
32 32 31 31  1 -1  3 -3   -0.2284795505690922e-01   0.0000000000000000e+00  -0.9198549787444866e-06   0.1146805038382584e-06  -0.2284898959239180e-01
31 33 29 32  1 -1 -1  1    0.8826036538257916e-02  -0.1833149775960368e-03   0.7554830184473264e-06   0.1809713363255113e-06   0.9009926027536076e-02
31 32 29 34 -1  1 -1  1    0.8122356354030366e-03   0.0000000000000000e+00  -0.4927061858275256e-06  -0.2023955493716930e-07   0.8117631687721463e-03
31 34 30 33 -1  1  1 -1    0.1044316031000998e-02   0.1709770639621662e-03   0.7943895819236498e-08  -0.7159883839279831e-08   0.8733540708184898e-03
32 32 30 33  1 -1  1 -1    0.3041438061651775e-02  -0.6082876123303548e-02  -0.1985615851873860e-06   0.3971231703747719e-06   0.9123718500199761e-02
30 33 29 32  1 -1 -1  1    0.1607839718861308e-01  -0.6499260355136346e-03   0.1136770866620036e-05  -0.1901753234907609e-06   0.1672965017031683e-01
34 34 31 31  1 -1  3 -3   -0.4223322105738338e-03   0.4223322105738337e-03  -0.3062631632478226e-07   0.1306353707053440e-07  -0.8447081110010628e-03
32 32 30 33  1 -1 -1  1   -0.6082876123303548e-02   0.3041438061651775e-02   0.3971231703747719e-06  -0.1985615851873860e-06  -0.9123718500199759e-02
32 32 31 34  1 -1  3 -3    0.4646870425876627e-02   0.0000000000000000e+00  -0.2875296634864068e-06   0.1148037871876375e-07   0.4646571415834423e-02
